"location","region","habitat","year","pop"
"Bolinas","central","lagoon",0,3
"Drakes","north","estuary",0,5
"Giacomini","tomales","estuary",0,4
"Madera","bay","estuary",0,3
"NTB","tomales","estuary",0,7
"Rodeo","south","lagoon",0,4
"Tennessee","south","lagoon",0,1
"Alpine","inland","reservoir",1,4
"Bass","central","reservoir",1,4
"Bolinas","central","lagoon",1,3
"Drakes","north","estuary",1,4
"Giacomini","tomales","estuary",1,8
"Madera","bay","estuary",1,4
"Muir","south","stream",1,3
"NTB","tomales","estuary",1,6
"Rodeo","south","lagoon",1,6
"Tennessee","south","lagoon",1,2
"Alpine","inland","reservoir",2,5
"Bass","central","reservoir",2,5
"Bolinas","central","lagoon",2,3
"Drakes","north","estuary",2,4
"Estero","north","estuary",2,6
"Giacomini","tomales","estuary",2,7
"LasGallinas","bay","reservoir",2,3
"Madera","bay","estuary",2,4
"Muir","south","stream",2,3
"NTB","tomales","estuary",2,5
"Peters","inland","stream",2,6
"Rodeo","south","lagoon",2,4
"Tennessee","south","lagoon",2,3
"Alpine","inland","reservoir",3,6
"Bass","central","reservoir",3,5
"Bolinas","central","lagoon",3,3
"Drakes","north","estuary",3,4
"Estero","north","estuary",3,4
"Giacomini","tomales","estuary",3,8
"LasGallinas","bay","reservoir",3,7
"Madera","bay","estuary",3,4
"Muir","south","stream",3,1
"NTB","tomales","estuary",3,8
"Peters","inland","stream",3,8
"Rodeo","south","lagoon",3,4
"Tennessee","south","lagoon",3,1
"Alpine","inland","reservoir",4,7
"Bass","central","reservoir",4,4
"Bolinas","central","lagoon",4,2
"Drakes","north","estuary",4,7
"Estero","north","estuary",4,4
"Giacomini","tomales","estuary",4,9
"LasGallinas","bay","reservoir",4,6
"Madera","bay","estuary",4,4
"Muir","south","stream",4,1
"NTB","tomales","estuary",4,9
"Peters","inland","stream",4,9
"Rodeo","south","lagoon",4,4
"Tennessee","south","lagoon",4,1
